parameter,value,range_basis,baseline_input_fingerprint,experiment_input_fingerprint,plan_id,scenario_id,feasible,total_cost_mln,shortage_t,min_total_service,min_critical_service,violations,critical_shortage_t,min_inventory_t,max_inventory_t,rejected_t,flexible_rights_2038_t,service_compliant,cheapest_compliant_plan
demand,0.8,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,False,10517.10438669035,0.0,0.9999999999999921,0.9999999999999966,25,2.2026824808563106e-13,2.4657534246575157,119.58356164383561,160.78420498031642,0.0,True,none_feasible
demand,0.8,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,BASE,False,10041.235025128486,0.0,0.9999999999999921,0.9999999999999966,68,2.2026824808563106e-13,2.4657534246575157,119.58356164383562,166.41839054961233,0.0,True,none_feasible
demand,0.8,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,BASE,False,12036.235025128488,0.0,0.9999999999999921,0.9999999999999966,70,2.2026824808563106e-13,2.4657534246575157,119.58356164383562,166.41839054961233,320.00000000000006,True,none_feasible
demand,1.0,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,True,10265.13564568828,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
demand,1.0,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,BASE,True,9795.159803931261,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.43999999999991,0.0,0.0,True,lunar
demand,1.0,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,BASE,True,11790.159803931263,0.0,0.999999999999997,0.9999999999999941,0,1.2363443602225743e-12,3.552713678800501e-15,97.44000000000001,0.0,320.00000000000006,True,lunar
demand,1.1,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,False,10262.629484712488,139.00000000000043,0.9088865472427184,0.9689682210230162,14,20.50493150684592,0.0,77.61150684931458,0.0,0.0,False,none_feasible
demand,1.1,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,BASE,False,9792.894616106152,139.0000000000002,0.9088865472427183,0.9726027397260261,14,19.33205479452046,0.0,97.37150684931494,0.0,0.0,False,none_feasible
demand,1.1,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,BASE,False,11787.894616106156,139.00000000000023,0.9088865472427183,0.9726027397260261,14,19.332054794520573,0.0,97.37150684931504,0.0,320.00000000000006,False,none_feasible
demand,1.15,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,False,10261.539549279949,208.4999999999997,0.8692720025656366,0.9552334943639357,14,31.43205479451848,0.0,77.57726027397212,0.0,0.0,False,none_feasible
